from_name	to_name	from_affiliation	to_affiliation	SUM(transaction_amt)
MISSOURIANS FOR KIT BOND	MISSOURI REPUBLICAN STATE COMMITTEE-FEDERAL	REP	REP	526000
MOVEON PAC	KERRY, JOHN F	UNK	DEM	12336773
NATIONAL AIR TRAFFIC CONTROLLERS ASSOCIATION POLITICAL ACTION COMMITTEE (AKA NATCA PAC)	KERRY, JOHN F	UNK	DEM	952760
NATIONAL RIGHT TO LIFE POLITICAL ACTION COMMITTEE	BUSH, GEORGE W	UNK	REP	3102131
NEA FUND FOR CHILDREN AND PUBLIC EDUCATION	KERRY, JOHN F	UNK	DEM	1166662
NRA POLITICAL VICTORY FUND	BUSH, GEORGE W	UNK	REP	5356490
REPUBLICAN NATIONAL COMMITTEE	BUSH, GEORGE W	REP	REP	34227098
REPUBLICAN PARTY OF FLORIDA	BUSH, GEORGE W	REP	REP	1952584
RICHARD BURR COMMITTEE, THE	RICHARD BURR COMMITTEE	REP	UNK	1681100
SERVICE EMPLOYEES INTERNATIONAL UNION COMMITTEE ON POLITICAL EDUCATION (SEIU COPE)	KERRY, JOHN F	UNK	DEM	3220481
STEPHEN ADAMS	BUSH, GEORGE W	UNK	REP	2000000
TAKE BACK AMERICA SERVICE EMPLOYEES INTERNATIONAL UNION	DEAN, HOWARD	UNK	DEM	907751
UAW - V - CAP (UAW VOLUNTARY COMMUNITY ACTION PROGRAM)	KERRY, JOHN F	UNK	DEM	5156529
